model,hardware,prompt_size,batch_size,token_size,peak_power,average_power,prompt_time,token_time,e2e_time,tensor_parallel
llama2-70b,h100-80gb,512,1,1024,0,0,83.29902997,37.14953764,28810.42576,2
llama2-70b,h100-80gb,512,1,1024,0,0,83.25814904,37.04123494,12682.38497,2
llama2-70b,a100-80gb,512,1,2048,0,0,194.6808679,59.66126287,10161.31806,2
llama2-70b,a100-80gb,512,1,2048,0,0,195.1760129,60.34880911,34964.60128,2
llama2-70b,a100-80gb,512,1,2048,0,0,195.471343,62.17991439,127505.5873,2
llama2-70b,a100-80gb,512,1,2048,0,0,195.430237,59.63609222,9919.266701,2
llama2-70b,a100-80gb,512,1,2048,0,0,195.022549,60.54271609,50093.54234,2
llama2-70b,h100-80gb,512,1,2048,0,0,92.52544399,36.86070121,6252.113104,2
llama2-70b,h100-80gb,512,1,2048,0,0,83.50902097,36.90806647,45538.5983,2
llama2-70b,h100-80gb,512,1,2048,0,0,83.56189996,36.88101399,18791.53132,2
llama2-70b,h100-80gb,512,1,2048,0,0,83.651583,36.91863752,35505.57852,2
llama2-70b,h100-80gb,512,1,2048,0,0,83.73758796,36.87408026,19636.96432,2
llama2-70b,a100-80gb,512,1,4096,0,0,194.262211,59.72302328,10171.55218,2
llama2-70b,a100-80gb,512,1,4096,0,0,195.3111211,60.27002492,34919.54923,2
llama2-70b,a100-80gb,512,1,4096,0,0,196.243505,62.99709824,185006.6097,2
llama2-70b,a100-80gb,512,1,4096,0,0,195.53384,62.06506481,119699.8374,2
llama2-70b,a100-80gb,512,1,4096,0,0,196.743713,60.24969545,27316.84136,2
llama2-70b,h100-80gb,512,1,4096,0,0,84.37463897,37.29327415,6316.221952,2
llama2-70b,h100-80gb,512,1,4096,0,0,83.29139301,37.34404907,46075.4981,2
llama2-70b,h100-80gb,512,1,4096,0,0,83.64301798,37.28364254,18995.93306,2
llama2-70b,h100-80gb,512,1,4096,0,0,84.94559902,37.34943125,35920.17555,2
llama2-70b,h100-80gb,512,1,4096,0,0,83.81819999,37.20894468,19814.62908,2
llama2-70b,a100-80gb,512,1,8192,0,0,195.768011,59.89193476,10200.96827,2
llama2-70b,a100-80gb,512,1,8192,0,0,195.387176,60.21483135,34887.31909,2
llama2-70b,a100-80gb,512,1,8192,0,0,194.845351,62.89885318,184714.0355,2
llama2-70b,a100-80gb,512,1,8192,0,0,194.720034,61.84737614,119275.5272,2
llama2-70b,a100-80gb,512,1,8192,0,0,194.888409,60.0692124,27232.45549,2
llama2-70b,h100-80gb,512,1,8192,0,0,84.57861101,37.37696728,6330.710649,2
llama2-70b,h100-80gb,512,1,8192,0,0,83.349019,37.48153782,46245.67676,2
llama2-70b,h100-80gb,512,1,8192,0,0,84.39692401,37.45778209,19085.58011,2
llama2-70b,h100-80gb,512,1,8192,0,0,84.318557,37.45756431,36024.11532,2
llama2-70b,h100-80gb,512,1,8192,0,0,84.32483103,37.42901345,19932.27839,2
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.898329,44.31801987,5758.188963,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.5052431,44.61435684,5796.393633,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.9623409,44.99127213,5843.802214,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,127.2198919,45.28371266,5881.113052,4
llama2-70b,a100-80gb,512,1,128,1.0023625,0.59930625,126.85528,45.58825008,5919.335127,4
llama2-70b,h100-80gb,512,1,128,0,0,59.55572199,29.76230504,3842.522621,4
llama2-70b,h100-80gb,512,1,128,0,0,59.717,29.26659483,3779.806376,4
llama2-70b,h100-80gb,512,1,128,0,0,59.61944204,29.73865488,3839.799881,4
llama2-70b,h100-80gb,512,1,128,0,0,59.74865297,29.54404005,3815.213203,4
llama2-70b,h100-80gb,512,1,128,0,0,59.25266497,29.71806373,3836.778879,4
llama2-70b,a100-80gb,512,2,128,1.02379375,0.60701875,254.4825809,45.00474264,5973.715305,4
llama2-70b,a100-80gb,512,2,128,1.02379375,0.60701875,253.433454,44.90721822,5960.402727,4
llama2-70b,a100-80gb,512,2,128,1.02379375,0.60701875,253.299544,44.7977819,5946.356535,4
llama2-70b,a100-80gb,512,2,128,1.02379375,0.60701875,254.103857,45.15836369,5992.879868,4
llama2-70b,a100-80gb,512,2,128,1.02379375,0.60701875,253.9317471,45.16171281,5993.177891,4
llama2-70b,h100-80gb,512,2,128,0,0,103.298244,29.98028867,3914.788723,4
llama2-70b,h100-80gb,512,2,128,0,0,103.834916,29.6851707,3877.542734,4
llama2-70b,h100-80gb,512,2,128,0,0,103.6224,29.84413121,3897.73488,4
llama2-70b,h100-80gb,512,2,128,0,0,104.163496,30.24428578,3949.269056,4
llama2-70b,h100-80gb,512,2,128,0,0,103.3124,30.20669353,3943.58182,4
llama2-70b,a100-80gb,512,4,128,1.018375,0.604059375,571.4330729,45.08528099,6302.218914,4
llama2-70b,a100-80gb,512,4,128,1.018375,0.604059375,450.437432,44.97229446,6166.770935,4
llama2-70b,a100-80gb,512,4,128,1.018375,0.604059375,586.86431,45.36767364,6353.494406,4
llama2-70b,a100-80gb,512,4,128,1.018375,0.604059375,475.181215,45.33901702,6238.158464,4
llama2-70b,a100-80gb,512,4,128,1.018375,0.604059375,574.7047641,45.08332974,6305.081367,4
llama2-70b,h100-80gb,512,4,128,0,0,189.447708,29.87187151,3988.089323,4
llama2-70b,h100-80gb,512,4,128,0,0,204.172151,29.76011495,3988.524199,4
llama2-70b,h100-80gb,512,4,128,0,0,195.277262,29.9206035,4000.256538,4
llama2-70b,h100-80gb,512,4,128,0,0,188.7654481,30.19362757,4028.330088,4
llama2-70b,h100-80gb,512,4,128,0,0,208.146064,30.17427633,4045.147419,4
llama2-70b,a100-80gb,512,8,128,1.025075,0.6147,1233.01605,45.52118559,7021.963358,4
llama2-70b,a100-80gb,512,8,128,1.025075,0.6147,1239.664271,45.79912488,7063.620806,4
llama2-70b,a100-80gb,512,8,128,1.025075,0.6147,1131.805039,45.4420355,6910.457134,4
llama2-70b,a100-80gb,512,8,128,1.025075,0.6147,1263.487813,46.40421304,7164.194345,4
llama2-70b,a100-80gb,512,8,128,1.025075,0.6147,1199.776046,46.19978459,7074.553728,4
llama2-70b,h100-80gb,512,8,128,0,0,453.235485,31.44065508,4453.487396,4
llama2-70b,h100-80gb,512,8,128,0,0,431.721436,31.47077715,4435.357094,4
llama2-70b,h100-80gb,512,8,128,0,0,442.201357,31.42127149,4439.26239,4
llama2-70b,h100-80gb,512,8,128,0,0,433.124755,31.43632021,4432.361126,4
llama2-70b,h100-80gb,512,8,128,0,0,450.029854,31.29887977,4431.293726,4
llama2-70b,a100-80gb,512,16,128,1.03183125,0.6422,2892.581938,48.31309411,9041.130781,4
llama2-70b,a100-80gb,512,16,128,1.03183125,0.6422,2790.775393,48.51813264,8965.197802,4
llama2-70b,a100-80gb,512,16,128,1.03183125,0.6422,3024.210642,48.42070533,9186.0919,4
llama2-70b,a100-80gb,512,16,128,1.03183125,0.6422,2962.841642,49.18990013,9222.729206,4
llama2-70b,a100-80gb,512,16,128,1.03183125,0.6422,2757.307758,48.87728397,8977.344513,4
llama2-70b,h100-80gb,512,16,128,0,0,874.345414,32.3713891,4996.20533,4
llama2-70b,h100-80gb,512,16,128,0,0,843.950809,32.66510997,5002.893925,4
llama2-70b,h100-80gb,512,16,128,0,0,966.874674,32.84276482,5148.420334,4
llama2-70b,h100-80gb,512,16,128,0,0,848.47942,33.27402169,5084.643364,4
llama2-70b,h100-80gb,512,16,128,0,0,877.464945,33.02880729,5082.400322,4
llama2-70b,a100-80gb,512,32,128,0,0,4731.098549,52.56291359,11519.64331,4
llama2-70b,a100-80gb,512,32,128,0,0,5129.755031,52.34534905,11801.32151,4
llama2-70b,a100-80gb,512,32,128,0,0,5515.413472,52.62224163,12221.73119,4
llama2-70b,a100-80gb,512,32,128,0,0,5321.139022,52.25380937,11980.40462,4
llama2-70b,a100-80gb,512,32,128,0,0,5131.72572,52.34418186,11802.60921,4
llama2-70b,h100-80gb,512,32,128,0,0,1701.0654,36.82076102,6394.124269,4
llama2-70b,h100-80gb,512,32,128,0,0,1720.014092,37.14182405,6454.375267,4
llama2-70b,h100-80gb,512,32,128,0,0,1750.429567,36.91528291,6456.516981,4
llama2-70b,h100-80gb,512,32,128,0,0,1741.813514,36.82757681,6435.887575,4
llama2-70b,h100-80gb,512,32,128,0,0,1726.053721,36.88472518,6427.978992,4
llama2-70b,a100-80gb,512,64,128,0,0,10999.0448,72.21916907,20217.10753,4
llama2-70b,a100-80gb,512,64,128,0,0,10861.82171,72.94684168,20171.5765,4
llama2-70b,a100-80gb,512,64,128,0,0,10947.81982,73.92976886,20382.92956,4
llama2-70b,a100-80gb,512,64,128,0,0,10058.52677,73.55305804,19446.46239,4
llama2-70b,a100-80gb,512,64,128,0,0,11176.97209,71.13484919,20256.67357,4
llama2-70b,h100-80gb,512,64,128,0,0,3515.462456,51.05028113,10031.96096,4
llama2-70b,h100-80gb,512,64,128,0,0,3491.970314,52.41499074,10180.78923,4
llama2-70b,h100-80gb,512,64,128,0,0,3604.312779,51.41392206,10167.4993,4
llama2-70b,h100-80gb,512,64,128,0,0,3520.473267,52.35591869,10199.1446,4
llama2-70b,h100-80gb,512,64,128,0,0,3529.38787,52.69820469,10255.33724,4
llama2-70b,a100-80gb,128,1,128,0.6415,0.59419375,63.77235497,42.16473678,5420.995712,4
llama2-70b,a100-80gb,128,1,128,0.6415,0.59419375,63.65380413,42.38752922,5449.124813,4
llama2-70b,a100-80gb,128,1,128,0.6415,0.59419375,78.51960114,42.5041677,5478.740215,4
llama2-70b,a100-80gb,128,1,128,0.6415,0.59419375,63.52851703,42.41922982,5452.949286,4
llama2-70b,a100-80gb,128,1,128,0.6415,0.59419375,63.32005397,42.56692698,5471.460581,4
llama2-70b,h100-80gb,128,1,128,0,0,48.32024401,28.16802513,3628.633261,4
llama2-70b,h100-80gb,128,1,128,0,0,49.15742303,28.4692219,3667.716503,4
llama2-70b,h100-80gb,128,1,128,0,0,49.08608901,28.32619307,3649.463654,4
llama2-70b,h100-80gb,128,1,128,0,0,49.52112801,28.53891514,3676.870823,4
llama2-70b,h100-80gb,128,1,128,0,0,48.36062202,28.36061285,3653.026819,4
llama2-70b,a100-80gb,256,1,128,0.8129,0.589753125,78.3940549,42.17594286,5437.246799,4
llama2-70b,a100-80gb,256,1,128,0.8129,0.589753125,78.59168807,42.44966931,5472.119093,4
llama2-70b,a100-80gb,256,1,128,0.8129,0.589753125,78.66183412,42.16114979,5435.564756,4
llama2-70b,a100-80gb,256,1,128,0.8129,0.589753125,78.57072889,42.12921539,5431.355238,4
llama2-70b,a100-80gb,256,1,128,0.8129,0.589753125,78.45474291,42.44287204,5471.072435,4
llama2-70b,h100-80gb,256,1,128,0,0,59.51138301,30.03005675,3876.344442,4
llama2-70b,h100-80gb,256,1,128,0,0,50.86648301,29.77958989,3835.883141,4
